 id |                      package_name                      
 554 | org.onosproject.onos-yang-serializers-json
 555 | org.onosproject.onos-yang-serializers-utils
 556 | org.onosproject.onos-yang-serializers-xml
 557 | org.onosproject.onos-yang-utils-generator
 558 | org.onosproject.openflowj
 559 | org.apache.felix.org.apache.felix.scr
 560 | org.apache.felix.org.apache.felix.scr.annotations
 561 | org.apache.karaf.features.org.apache.karaf.features.core
 562 | org.apache.karaf.system.org.apache.karaf.system.core
 563 | org.apache.servicemix.bundles.org.apache.servicemix.bundles.dom4j
 564 | org.osgi.org.osgi.compendium
 565 | org.osgi.org.osgi.core
 566 | com.esotericsoftware.reflectasm
 568 | org.onosproject.onos-protocols-openflow-api
 569 | org.onosproject.onlab-misc
 570 | org.onosproject.onlab-osgi
 571 | org.onosproject.onlab-rest
 574 | com.netflix.feign.feign-core
 575 | com.netflix.feign.feign-gson
 576 | com.google.mockwebserver.mockwebserver
 584 | org.hibernate.hibernate-search-infinispan
 585 | org.infinispan.infinispan-core
 590 | org.hibernate.hibernate-search-engine
(25 rows)

 id  |                     package_name                      
-----+-------------------------------------------------------
 591 | org.jboss.jbossts.jbossjta
 597 | com.amazonaws.aws-java-sdk-kms
 599 | ai.h2o.h2o-orc-parser
 600 | ai.h2o.h2o-core
 601 | ai.h2o.h2o-persist-hdfs
 602 | org.apache.hive.hive-exec
 603 | org.apache.hadoop.hadoop-common
 606 | io.swagger.swagger-annotations
 609 | org.wso2.siddhi.siddhi-query-api
 610 | org.apache.log4j.wso2.log4j
 612 | org.apache.nifi.nifi-framework-cluster-web
 613 | org.apache.nifi.nifi-api
 614 | org.apache.nifi.nifi-properties
 615 | org.apache.nifi.nifi-administration
 618 | org.springframework.boot.spring-boot-starter
 620 | org.springframework.boot.spring-boot-starter-cache
 622 | org.openehealth.ipf.boot.ipf-atna-spring-boot-starter
 629 | javax.servlet.jsp-api
 630 | commons-dbcp.commons-dbcp
 631 | com.avsystem.commons.commons-annotations_2.11
 633 | com.github.ghik.silencer-lib
 635 | com.networknt.registry
 636 | com.networknt.config
 637 | com.networknt.utility
 638 | com.networknt.status
(25 rows)

 id  |                     package_name                     
-----+------------------------------------------------------
 639 | com.networknt.exception
 640 | com.networknt.service
 646 | org.kantega.reststop.reststop-classloader-utils
 648 | org.apache.camel.camel-core
 652 | org.apache.camel.camel-spring
 658 | io.undertow.undertow-core
 660 | org.jboss.logging.jboss-logging
 662 | org.jboss.xnio.xnio-api
 663 | org.jboss.xnio.xnio-nio
 667 | org.apache.activemq.artemis-cli
 668 | org.apache.activemq.artemis-jms-client
 669 | org.glassfish.hk2.hk2-locator
 670 | org.jvnet.tiger-types
 671 | org.glassfish.hk2.external.javax.inject
 674 | org.apache.httpcomponents.httpmime
 675 | org.easymock.easymock
 676 | org.jboss.logmanager.jboss-logmanager
 681 | org.glassfish.hk2.external.asm-all-repackaged
 682 | org.glassfish.hk2.hk2-api
 683 | org.glassfish.hk2.hk2-utils
 685 | javax.xml.stream.stax-api
 691 | org.springframework.boot.spring-boot-autoconfigure
 692 | org.mybatis.mybatis
 693 | org.mybatis.mybatis-spring
 696 | com.bazaarvoice.emodb.emodb-common-dropwizard-client
(25 rows)

 id  |                     package_name                      
-----+-------------------------------------------------------
 697 | com.bazaarvoice.emodb.emodb-common-client
 699 | io.dropwizard.dropwizard-client
 702 | ${project.groupId}.bpm-engine-api
 703 | ${project.groupId}.bpm-engine-impl
 705 | org.mapdb.mapdb
 709 | org.apache.camel.camel-test
 711 | org.xwiki.commons.xwiki-commons-script
 712 | org.xwiki.commons.xwiki-commons-observation-api
 715 | com.github.tomakehurst.wiremock
 716 | org.duracloud.storageprovider
 717 | org.duracloud.common
 718 | org.jdom.jdom
 721 | org.springframework.boot.spring-boot-starter-jdbc
 724 | org.glassfish.admingui.console-plugin-service
 726 | biz.aQute.bnd.biz.aQute.bndlib
 727 | com.liferay.com.liferay.frontend.taglib
 728 | com.liferay.com.liferay.petra.lang
 729 | com.liferay.com.liferay.petra.string
 730 | com.liferay.com.liferay.portal.configuration.metatype
 731 | com.liferay.com.liferay.portal.upgrade
 732 | com.liferay.portal.com.liferay.portal.impl
 733 | com.liferay.portal.com.liferay.portal.kernel
 734 | com.liferay.portal.com.liferay.util.taglib
 737 | javax.servlet.jsp.javax.servlet.jsp-api
 738 | org.osgi.org.osgi.service.component.annotations
(25 rows)

 id  |                                           package_name                                           
-----+--------------------------------------------------------------------------------------------------
 743 | com.google.code.gson.gson
 745 | org.apache.logging.log4j.log4j-api
 746 | org.apache.logging.log4j.log4j-core
